刹车力度,油门力度,LapTime,电机功率,时速,image_name
48,0,01.29.84,0,85,2026-01-31_15-47-51_Front_frame_007530.jpg
47,0,01.30.17,0,79,2026-01-31_15-47-51_Front_frame_007540.jpg
39,0,01.30.54,0,69,2026-01-31_15-47-51_Front_frame_007550.jpg
16,0,01.30.85,0,66,2026-01-31_15-47-51_Front_frame_007560.jpg
6,0,01.31.17,0,62,2026-01-31_15-47-51_Front_frame_007570.jpg
4,0,01.31.50,0,61,2026-01-31_15-47-51_Front_frame_007580.jpg
0,0,01.31.83,0,60,2026-01-31_15-47-51_Front_frame_007590.jpg
0,22,01.32.16,0,59,2026-01-31_15-47-51_Front_frame_007600.jpg
0,34,01.32.50,27,59,2026-01-31_15-47-51_Front_frame_007610.jpg
0,33,01.32.85,118,60,2026-01-31_15-47-51_Front_frame_007620.jpg
0,43,01.33.16,119,64,2026-01-31_15-47-51_Front_frame_007630.jpg
9,0,01.33.51,164,66,2026-01-31_15-47-51_Front_frame_007640.jpg
27,0,01.33.84,0,64,2026-01-31_15-47-51_Front_frame_007650.jpg
7,0,01.34.17,0,61,2026-01-31_15-47-51_Front_frame_007660.jpg
0,69,01.34.50,0,57,2026-01-31_15-47-51_Front_frame_007670.jpg
0,58,01.34.83,165,60,2026-01-31_15-47-51_Front_frame_007680.jpg
0,65,01.35.18,312,70,2026-01-31_15-47-51_Front_frame_007690.jpg
0,66,01.35.50,368,80,2026-01-31_15-47-51_Front_frame_007700.jpg
0,72,01.35.84,422,85,2026-01-31_15-47-51_Front_frame_007710.jpg
0,76,01.36.17,503,96,2026-01-31_15-47-51_Front_frame_007720.jpg
0,100,01.36.50,586,104,2026-01-31_15-47-51_Front_frame_007730.jpg
0,100,01.36.83,381,127,2026-01-31_15-47-51_Front_frame_007740.jpg
0,100,01.37.17,702,134,2026-01-31_15-47-51_Front_frame_007750.jpg
0,100,01.37.50,797,135,2026-01-31_15-47-51_Front_frame_007760.jpg
0,100,01.37.83,365,141,2026-01-31_15-47-51_Front_frame_007770.jpg
0,100,01.38.17,998,154,2026-01-31_15-47-51_Front_frame_007780.jpg
0,100,01.38.51,995,161,2026-01-31_15-47-51_Front_frame_007790.jpg
0,100,01.38.82,961,171,2026-01-31_15-47-51_Front_frame_007800.jpg
0,100,01.39.14,985,176,2026-01-31_15-47-51_Front_frame_007810.jpg
0,100,01.39.49,969,187,2026-01-31_15-47-51_Front_frame_007820.jpg
0,100,01.39.83,966,191,2026-01-31_15-47-51_Front_frame_007830.jpg
0,100,01.40.14,956,201,2026-01-31_15-47-51_Front_frame_007840.jpg
0,100,01.40.47,945,204,2026-01-31_15-47-51_Front_frame_007850.jpg
0,100,01.40.80,940,212,2026-01-31_15-47-51_Front_frame_007860.jpg
0,49,01.41.14,934,216,2026-01-31_15-47-51_Front_frame_007870.jpg
0,0,01.41.49,534,217,2026-01-31_15-47-51_Front_frame_007880.jpg
25,0,01.41.79,0,216,2026-01-31_15-47-51_Front_frame_007890.jpg
46,0,01.42.14,0,210,2026-01-31_15-47-51_Front_frame_007900.jpg
44,0,01.42.47,0,203,2026-01-31_15-47-51_Front_frame_007910.jpg
35,0,01.42.83,0,195,2026-01-31_15-47-51_Front_frame_007920.jpg
19,0,01.43.14,0,192,2026-01-31_15-47-51_Front_frame_007930.jpg
0,0,01.43.49,0,182,2026-01-31_15-47-51_Front_frame_007940.jpg
8,0,01.43.82,0,185,2026-01-31_15-47-51_Front_frame_007950.jpg
8,0,01.44.14,0,186,2026-01-31_15-47-51_Front_frame_007960.jpg
20,0,01.44.49,0,185,2026-01-31_15-47-51_Front_frame_007970.jpg
39,0,01.44.82,0,180,2026-01-31_15-47-51_Front_frame_007980.jpg
41,0,01.45.14,,176,2026-01-31_15-47-51_Front_frame_007990.jpg
40,0,01.45.49,0,168,2026-01-31_15-47-51_Front_frame_008000.jpg
41,0,01.45.79,0,164,2026-01-31_15-47-51_Front_frame_008010.jpg
46,0,01.46.14,0,155,2026-01-31_15-47-51_Front_frame_008020.jpg
45,0,01.46.46,0,150,2026-01-31_15-47-51_Front_frame_008030.jpg
41,0,01.46.82,0,141,2026-01-31_15-47-51_Front_frame_008040.jpg
41,0,01.47.14,0,136,2026-01-31_15-47-51_Front_frame_008050.jpg
38,0,01.47.50,0,128,2026-01-31_15-47-51_Front_frame_008060.jpg
30,0,01.47.82,0,124,2026-01-31_15-47-51_Front_frame_008070.jpg
0,0,01.48.14,0,119,2026-01-31_15-47-51_Front_frame_008080.jpg
26,0,01.48.46,0,118,2026-01-31_15-47-51_Front_frame_008090.jpg
36,0,01.48.83,0,114,2026-01-31_15-47-51_Front_frame_008100.jpg
34,0,01.49.14,0,107,2026-01-31_15-47-51_Front_frame_008110.jpg
30,0,01.49.49,0,104,2026-01-31_15-47-51_Front_frame_008120.jpg
29,0,01.49.82,0,99,2026-01-31_15-47-51_Front_frame_008130.jpg
23,0,01.50.14,0,96,2026-01-31_15-47-51_Front_frame_008140.jpg
0,0,01.50.48,0,93,2026-01-31_15-47-51_Front_frame_008150.jpg
0,0,01.50.82,0,92,2026-01-31_15-47-51_Front_frame_008160.jpg
0,35,01.51.14,0,91,2026-01-31_15-47-51_Front_frame_008170.jpg
0,23,01.51.47,143,93,2026-01-31_15-47-51_Front_frame_008180.jpg
0,32,01.51.82,61,94,2026-01-31_15-47-51_Front_frame_008190.jpg
0,33,01.52.18,128,95,2026-01-31_15-47-51_Front_frame_008200.jpg
0,70,01.52.49,144,98,2026-01-31_15-47-51_Front_frame_008210.jpg
0,74,01.52.85,508,103,2026-01-31_15-47-51_Front_frame_008220.jpg
0,100,01.53.15,575,117,2026-01-31_15-47-51_Front_frame_008230.jpg
0,100,01.53.53,790,124,2026-01-31_15-47-51_Front_frame_008240.jpg
0,100,01.53.81,362,134,2026-01-31_15-47-51_Front_frame_008250.jpg
0,100,01.54.15,391,140,2026-01-31_15-47-51_Front_frame_008260.jpg
0,100,01.54.48,946,151,2026-01-31_15-47-51_Front_frame_008270.jpg
0,100,01.54.82,006,158,2026-01-31_15-47-51_Front_frame_008280.jpg
0,100,01.55.15,993,170,2026-01-31_15-47-51_Front_frame_008290.jpg
0,100,01.55.49,994,175,2026-01-31_15-47-51_Front_frame_008300.jpg
0,100,01.55.82,979,186,2026-01-31_15-47-51_Front_frame_008310.jpg
